,label,Anthophila,DG,HS,Justine,LMDI,Spipoll,inaturalist_2305,total
185,Apis mellifera,9.0,1.0,,,55.0,19733.0,,19798.0
242,Bombus terrestris,36.0,9.0,1.0,11.0,41.0,,15983.0,16081.0
150,Anthidium manicatum,76.0,1.0,,27.0,57.0,,14810.0,14971.0
211,Bombus lapidarius,10.0,3.0,4.0,3.0,74.0,,11327.0,11421.0
207,Bombus hypnorum,20.0,5.0,,3.0,36.0,,10868.0,10932.0
226,Bombus pratorum,25.0,5.0,,3.0,49.0,,7454.0,7536.0
649,Xylocopa violacea,141.0,5.0,1.0,7.0,58.0,904.0,6208.0,7324.0
348,Halictus rubicundus,16.0,,,1.0,24.0,,5669.0,5710.0
549,Osmia cornuta,46.0,2.0,2.0,20.0,54.0,,5464.0,5588.0
545,Osmia bicornis,37.0,4.0,2.0,12.0,53.0,,4788.0,4896.0
478,Megachile sculpturalis,21.0,,,,43.0,,4561.0,4625.0
349,Halictus scabiosae,119.0,3.0,3.0,14.0,61.0,,4254.0,4454.0
152,Anthidium oblongatum,41.0,1.0,,2.0,24.0,,4120.0,4188.0
55,Andrena fulva,17.0,4.0,,16.0,150.0,255.0,3409.0,3851.0
29,Andrena cineraria,13.0,3.0,,5.0,55.0,,3221.0,3297.0
63,Andrena haemorrhoa,28.0,3.0,,15.0,52.0,,2995.0,3093.0
203,Bombus hortorum,14.0,3.0,,3.0,37.0,,3036.0,3093.0
176,Anthophora plumipes,45.0,4.0,6.0,16.0,63.0,,2531.0,2665.0
240,Bombus sylvarum,6.0,7.0,,,46.0,,2445.0,2504.0
144,Andrena wilkella,19.0,2.0,,6.0,,,2461.0,2488.0
148,Anthidium florentinum,40.0,5.0,,,53.0,,2375.0,2473.0
288,Colletes cunicularius,36.0,4.0,,20.0,55.0,,1977.0,2092.0
295,Colletes hederae,30.0,6.0,,,55.0,481.0,1508.0,2080.0
212,Bombus lucorum,14.0,4.0,,3.0,24.0,,2014.0,2059.0
233,Bombus rupestris,7.0,5.0,,,11.0,,1903.0,1926.0
205,Bombus humilis,9.0,5.0,1.0,2.0,44.0,,1693.0,1754.0
308,Dasypoda hirtipes,13.0,4.0,,14.0,31.0,,1688.0,1750.0
135,Andrena vaga,33.0,2.0,,41.0,39.0,,1523.0,1638.0
65,Andrena hattorfiana,11.0,6.0,17.0,8.0,36.0,,1450.0,1528.0
603,Sphecodes albilabris,4.0,2.0,12.0,12.0,53.0,,1429.0,1512.0
196,Bombus campestris,5.0,3.0,,2.0,12.0,,1488.0,1510.0
247,Bombus vestalis,5.0,3.0,,2.0,23.0,,1417.0,1450.0
31,Andrena clarkella,,,,16.0,21.0,,1401.0,1438.0
474,Megachile rotundata,54.0,,,2.0,12.0,,1236.0,1304.0
198,Bombus cryptarum,,1.0,,,4.0,,1173.0,1178.0
50,Andrena flavipes,24.0,3.0,6.0,46.0,54.0,,1040.0,1173.0
201,Bombus flavidus,,,,,,,1131.0,1131.0
4,Amegilla quadrifasciata,49.0,2.0,,2.0,22.0,,845.0,920.0
90,Andrena nitida,29.0,4.0,,24.0,48.0,,751.0,856.0
231,Bombus ruderatus,10.0,1.0,,1.0,11.0,,799.0,822.0
194,Bombus bohemicus,,,,,17.0,,797.0,814.0
544,Osmia bicolor,1.0,,,2.0,29.0,,756.0,788.0
255,Ceratina cucurbitina,140.0,3.0,,6.0,29.0,376.0,221.0,775.0
449,Macropis europaea,12.0,7.0,,8.0,23.0,,699.0,749.0
154,Anthidium septemspinosum,85.0,2.0,,,52.0,,589.0,728.0
387,Hylaeus leptocephalus,,,,,,,680.0,680.0
244,Bombus terrestris lusitanicus,,,,,5.0,,674.0,679.0
192,Bombus argillaceus,,,,1.0,10.0,,654.0,665.0
