name,taxon_id,family,count
Tetracion jonesi,232394,154351,35
Acanalonia conica,84806,84807,7889
Acanthephyra pelagica,459492,1096842,15
Acanthocnemus nigricans,646496,572542,6
Acanthogammarus victorii,708352,708356,8
Acantholeberis curvirostris,483847,1068393,34
Acanthonotozoma inflatum,1402293,339129,8
Decimiana rehni,748756,84581,150
Acanthopteroctetes bimaculata,453153,453156,3
Acanthosoma haemorrhoidale,51149,51159,7114
Tyrophagus putrescentiae,337065,245045,13
Acartia longiremis,203394,195129,5
Catonia nava,372211,174056,764
Bebaiotes banksi,1319006,517985,4
Nipponaclerda biwakoensis,1125587,715480,38
Melanoplus differentialis,63518,47649,29107
Cyrtus gibbus,324345,176389,113
Acropsopilio neozelandiae,452361,452360,24
Missulena occatoria,464824,143556,430
Saxidromus delamarei,1205340,246196,2
Adelges tsugae,61513,61515,4546
Adela reaumurella,56203,51270,4456
Aderus populneus,212506,172767,84
Rocinela belliceps,260731,245491,25
Aegla concepcionensis,966671,428693,56
Gamostolus subantarcticus,958098,372936,5
Orothrips kelloggi,506264,245155,9
Anax junius,67731,51469,38913
Aetalion reticulatum,326309,326316,800
Hepatus epheliticus,259858,53611,953
Pleistodontes froggatti,395333,121523,54
Agathemera luteola,124855,124846,167
Eratigena duellica,750907,47345,4500
Orthometopon planum,544096,813910,193
Yunquenus portoricanus,538637,535010,13
Agromyza vockerothi,743364,48086,3340
Necrophilus hydrophiloides,176866,176882,274
Aidos yamouna,738168,544895,64
Lepidopa benedicti,295534,47601,144
Sphaerosoma pilosum,491919,491921,25
Aleuroplatus coronata,417217,154784,954
Allocrangonyx pellucidus,93667,566567,5
Alloniscus perconvexus,261215,245412,400
Anelus richardsoni,307109,245152,3
Athanas nitescens,568953,51196,326
Alucita hexadactyla,70203,48148,2028
Rimicaris exoculata,867838,502017,1
Camptopus lateralis,326890,62059,3202
Amaryllis philatelica,897446,870470,2
Amaurobius ferox,127022,49550,2150
Ameletus lineatus,213363,173248,17
Ameletopsis perscitus,385416,372943,105
Ameles spallanzania,430051,1097048,2518
Afrocypholaelaps africanus,903521,245183,3
Ammothea hilgendorfi,51489,51488,80
Ammotrechula boneti,297171,245459,34
Perlamantis alliberti,341628,55129,158
Ampelisca eschrichtii,1039997,64625,5
Stimulopalpus japonicus,366868,245114,226
Polypsocus corruptus,308234,245134,1300
Amphipteryx agrioides,93957,85577,1
Phreatomerus latipes,1067630,209265,8
Amphizoa insolens,321415,321416,18
Ampithoe lacertosa,260501,118499,15
Ampulex compressa,348362,186860,982
Licornus atroluteus,1346351,1152348,4
Analges bidentatus,1469069,245049,1
Teyloides bakeri,829037,1108899,36
Symbiotes gibberosus,232053,506547,36
Gertschanapis shantzi,845306,49879,77
Anaplecta fallax,311112,1371377,40
Anaspides tasmaniae,178195,563328,9
Syntexis libocedrii,778510,778511,6
Ancinus depressus,370881,245447,16
Andrena fulva,60579,57668,5478
Brachycybe producta,154895,81978,670
Angela guianensis,464664,748258,21
Parectatosoma echinus,496899,180408,39
Ramellogammarus californicus,791139,171654,7
Euborellia annulipes,196419,245158,2311
Sylvicola dubius,451818,245529,1322
Anomoses hylecoetes,874752,874750,5
Hemideina crassidens,85227,85210,2248
Anthela acuta,355236,125018,1202
Anthessius navanacis,1125385,996656,20
Notoxus monoceros,131885,85586,861
Anthocoris nemorum,359507,174592,1208
Anthomyia illocata,424957,49996,2358
Mumetopia occipitalis,329766,329767,42
Platystomos albinus,317906,172909,1653
Anamastigona bilselii,1186443,171527,7
Cyathura carinata,337885,85587,21
Atypoides riversi,989847,48359,2123
Anuropus panteni,1160180,813896,8
Anyphaena accentuata,319828,83722,4390
Anystis baccarum,262721,245050,18
Bemlos longicornis,1232237,209042,2
Apachyus peterseni,897387,713330,15
Apatania incerta,213878,173235,15
Apatelodes torrefacta,48262,783235,5279
Pachypsylla celtidismamma,322972,446767,9741
Amplinus bitumidus,270436,171228,29
Encarsia noyesi,751815,201669,34
Aphelocheirus aestivalis,546897,360948,69
Aphis nerii,71154,52381,21885
Philaenus spumarius,56189,56195,10578
Apis mellifera,47219,47221,439990
Apiocera philippii,876617,208225,8
Apteropanorpa tasmanica,574675,574676,2
Apystomyia elinguis,1466266,557997,1
Aradus depressus,204846,61254,539
Araneus diadematus,52628,47535,74588
Afrarchaea cornuta,791397,416710,18
Archeocrypticus topali,311410,311413,63
Archoleptoneta gertschi,844896,1228865,2
Zootermopsis angusticollis,121383,857908,1142
