class,order,family,genus,specie
Insecta,Hymenoptera,Megachilidae,Aglaoapis,Aglaoapis tridentata
Insecta,Hymenoptera,Apidae,Amegilla,Amegilla albigena
Insecta,Hymenoptera,Apidae,Amegilla,Amegilla garrula
Insecta,Hymenoptera,Apidae,Amegilla,Amegilla quadrifasciata
Insecta,Hymenoptera,Andrenidae,Andrena,Andrena agilissima
Insecta,Hymenoptera,Andrenidae,Andrena,Andrena albopunctata
Insecta,Hymenoptera,Andrenidae,Andrena,Andrena apicata
Insecta,Hymenoptera,Andrenidae,Andrena,Andrena barbilabris
Insecta,Hymenoptera,Andrenidae,Andrena,Andrena bicolor
Insecta,Hymenoptera,Andrenidae,Andrena,Andrena bicolorata
Insecta,Hymenoptera,Andrenidae,Andrena,Andrena bimaculata
Insecta,Hymenoptera,Andrenidae,Andrena,Andrena carantonica
Insecta,Hymenoptera,Andrenidae,Andrena,Andrena chrysosceles
Insecta,Hymenoptera,Andrenidae,Andrena,Andrena cineraria
Insecta,Hymenoptera,Andrenidae,Andrena,Andrena clarkella
Insecta,Hymenoptera,Andrenidae,Andrena,Andrena colletiformis
Insecta,Hymenoptera,Andrenidae,Andrena,Andrena denticulata
Insecta,Hymenoptera,Andrenidae,Andrena,Andrena dorsata
Insecta,Hymenoptera,Andrenidae,Andrena,Andrena flavipes
Insecta,Hymenoptera,Andrenidae,Andrena,Andrena florea
Insecta,Hymenoptera,Andrenidae,Andrena,Andrena fulva
Insecta,Hymenoptera,Andrenidae,Andrena,Andrena fuscipes
Insecta,Hymenoptera,Andrenidae,Andrena,Andrena fuscosa
Insecta,Hymenoptera,Andrenidae,Andrena,Andrena gravida
Insecta,Hymenoptera,Andrenidae,Andrena,Andrena haemorrhoa
Insecta,Hymenoptera,Andrenidae,Andrena,Andrena hattorfiana
Insecta,Hymenoptera,Andrenidae,Andrena,Andrena helvola
Insecta,Hymenoptera,Andrenidae,Andrena,Andrena humilis
Insecta,Hymenoptera,Andrenidae,Andrena,Andrena labialis
Insecta,Hymenoptera,Andrenidae,Andrena,Andrena labiata
Insecta,Hymenoptera,Andrenidae,Andrena,Andrena lagopus
Insecta,Hymenoptera,Andrenidae,Andrena,Andrena leucolippa
Insecta,Hymenoptera,Andrenidae,Andrena,Andrena limbata
Insecta,Hymenoptera,Andrenidae,Andrena,Andrena marginata
Insecta,Hymenoptera,Andrenidae,Andrena,Andrena minutula
Insecta,Hymenoptera,Andrenidae,Andrena,Andrena morio
Insecta,Hymenoptera,Andrenidae,Andrena,Andrena nigriceps
Insecta,Hymenoptera,Andrenidae,Andrena,Andrena nigroaenea
Insecta,Hymenoptera,Andrenidae,Andrena,Andrena nitida
Insecta,Hymenoptera,Andrenidae,Andrena,Andrena nycthemera
Insecta,Hymenoptera,Andrenidae,Andrena,Andrena ovatula
Insecta,Hymenoptera,Andrenidae,Andrena,Andrena pandellei
Insecta,Hymenoptera,Andrenidae,Andrena,Andrena pilipes
Insecta,Hymenoptera,Andrenidae,Andrena,Andrena praecox
Insecta,Hymenoptera,Andrenidae,Andrena,Andrena propinqua
Insecta,Hymenoptera,Andrenidae,Andrena,Andrena proxima
Insecta,Hymenoptera,Andrenidae,Andrena,Andrena ranunculi
Insecta,Hymenoptera,Andrenidae,Andrena,Andrena rosae
Insecta,Hymenoptera,Andrenidae,Andrena,Andrena symphyti
Insecta,Hymenoptera,Andrenidae,Andrena,Andrena thoracica
Insecta,Hymenoptera,Andrenidae,Andrena,Andrena tibialis
Insecta,Hymenoptera,Andrenidae,Andrena,Andrena trimmerana
Insecta,Hymenoptera,Andrenidae,Andrena,Andrena vaga
Insecta,Hymenoptera,Andrenidae,Andrena,Andrena variabilis
Insecta,Hymenoptera,Andrenidae,Andrena,Andrena ventralis
Insecta,Hymenoptera,Andrenidae,Andrena,Andrena viridescens
Insecta,Hymenoptera,Andrenidae,Andrena,Andrena wilkella
Insecta,Hymenoptera,Megachilidae,Anthidiellum,Anthidiellum strigatum
Insecta,Hymenoptera,Megachilidae,Anthidium,Anthidium florentinum
Insecta,Hymenoptera,Megachilidae,Anthidium,Anthidium loti
Insecta,Hymenoptera,Megachilidae,Anthidium,Anthidium manicatum
Insecta,Hymenoptera,Megachilidae,Anthidium,Anthidium oblongatum
Insecta,Hymenoptera,Megachilidae,Anthidium,Anthidium punctatum
Insecta,Hymenoptera,Megachilidae,Anthidium,Anthidium septemspinosum
Insecta,Hymenoptera,Apidae,Anthophora,Anthophora aestivalis
Insecta,Hymenoptera,Apidae,Anthophora,Anthophora bimaculata
Insecta,Hymenoptera,Apidae,Anthophora,Anthophora crinipes
Insecta,Hymenoptera,Apidae,Anthophora,Anthophora dispar
Insecta,Hymenoptera,Apidae,Anthophora,Anthophora fulvodimidiata
Insecta,Hymenoptera,Apidae,Anthophora,Anthophora furcata
Insecta,Hymenoptera,Apidae,Anthophora,Anthophora plumipes
Insecta,Hymenoptera,Apidae,Anthophora,Anthophora quadrimaculata
Insecta,Hymenoptera,Apidae,Anthophora,Anthophora retusa
Insecta,Hymenoptera,Apidae,Apis,Apis mellifera
Insecta,Hymenoptera,Apidae,Bombus,Bombus alpinus
Insecta,Hymenoptera,Apidae,Bombus,Bombus argillaceus
Insecta,Hymenoptera,Apidae,Bombus,Bombus barbutellus
Insecta,Hymenoptera,Apidae,Bombus,Bombus bohemicus
Insecta,Hymenoptera,Apidae,Bombus,Bombus campestris
Insecta,Hymenoptera,Apidae,Bombus,Bombus confusus
Insecta,Hymenoptera,Apidae,Bombus,Bombus cryptarum
Insecta,Hymenoptera,Apidae,Bombus,Bombus cullumanus
Insecta,Hymenoptera,Apidae,Bombus,Bombus distinguendus
Insecta,Hymenoptera,Apidae,Bombus,Bombus flavidus
Insecta,Hymenoptera,Apidae,Bombus,Bombus hortorum
Insecta,Hymenoptera,Apidae,Bombus,Bombus humilis
Insecta,Hymenoptera,Apidae,Bombus,Bombus hypnorum
Insecta,Hymenoptera,Apidae,Bombus,Bombus jonellus
Insecta,Hymenoptera,Apidae,Bombus,Bombus lapidarius
Insecta,Hymenoptera,Apidae,Bombus,Bombus lucorum
Insecta,Hymenoptera,Apidae,Bombus,Bombus mesomelas
Insecta,Hymenoptera,Apidae,Bombus,Bombus monticola
Insecta,Hymenoptera,Apidae,Bombus,Bombus mucidus
Insecta,Hymenoptera,Apidae,Bombus,Bombus muscorum
Insecta,Hymenoptera,Apidae,Bombus,Bombus pascuorum
Insecta,Hymenoptera,Apidae,Bombus,Bombus pomorum
Insecta,Hymenoptera,Apidae,Bombus,Bombus pratorum
Insecta,Hymenoptera,Apidae,Bombus,Bombus pyrenaeus
Insecta,Hymenoptera,Apidae,Bombus,Bombus ruderarius
Insecta,Hymenoptera,Apidae,Bombus,Bombus ruderatus
Insecta,Hymenoptera,Apidae,Bombus,Bombus rupestris
Insecta,Hymenoptera,Apidae,Bombus,Bombus sichelii
Insecta,Hymenoptera,Apidae,Bombus,Bombus soroeensis
Insecta,Hymenoptera,Apidae,Bombus,Bombus soroeensis proteus
Insecta,Hymenoptera,Apidae,Bombus,Bombus subterraneus
Insecta,Hymenoptera,Apidae,Bombus,Bombus sylvarum
Insecta,Hymenoptera,Apidae,Bombus,Bombus sylvestris
Insecta,Hymenoptera,Apidae,Bombus,Bombus terrestris
Insecta,Hymenoptera,Apidae,Bombus,Bombus terrestris dalmatinus
Insecta,Hymenoptera,Apidae,Bombus,Bombus terrestris lusitanicus
Insecta,Hymenoptera,Apidae,Bombus,Bombus vestalis
Insecta,Hymenoptera,Apidae,Bombus,Bombus veteranus
Insecta,Hymenoptera,Apidae,Bombus,Bombus wurflenii
Insecta,Hymenoptera,Apidae,Bombus,Bombus xanthopus
Insecta,Hymenoptera,Apidae,Ceratina,Ceratina chalcites
Insecta,Hymenoptera,Apidae,Ceratina,Ceratina chalybea
Insecta,Hymenoptera,Apidae,Ceratina,Ceratina cucurbitina
Insecta,Hymenoptera,Apidae,Ceratina,Ceratina cyanea
Insecta,Hymenoptera,Halictidae,Ceylalictus,Ceylalictus variegatus
Insecta,Hymenoptera,Megachilidae,Chelostoma,Chelostoma campanularum
Insecta,Hymenoptera,Megachilidae,Chelostoma,Chelostoma florisomne
Insecta,Hymenoptera,Megachilidae,Chelostoma,Chelostoma rapunculi
Insecta,Hymenoptera,Megachilidae,Coelioxys,Coelioxys afra
Insecta,Hymenoptera,Megachilidae,Coelioxys,Coelioxys alatus
Insecta,Hymenoptera,Megachilidae,Coelioxys,Coelioxys conoidea
Insecta,Hymenoptera,Megachilidae,Coelioxys,Coelioxys conoideus
Insecta,Hymenoptera,Megachilidae,Coelioxys,Coelioxys inermis
Insecta,Hymenoptera,Colletidae,Colletes,Colletes cunicularius
Insecta,Hymenoptera,Colletidae,Colletes,Colletes daviesanus
Insecta,Hymenoptera,Colletidae,Colletes,Colletes halophilus
Insecta,Hymenoptera,Colletidae,Colletes,Colletes hederae
Insecta,Hymenoptera,Colletidae,Colletes,Colletes hylaeiformis
Insecta,Hymenoptera,Colletidae,Colletes,Colletes similis
Insecta,Hymenoptera,Colletidae,Colletes,Colletes succinctus
Insecta,Hymenoptera,Melittidae,Dasypoda,Dasypoda argentata
Insecta,Hymenoptera,Melittidae,Dasypoda,Dasypoda hirtipes
Insecta,Hymenoptera,Melittidae,Dasypoda,Dasypoda visnaga
Insecta,Hymenoptera,Apidae,Epeoloides,Epeoloides coecutiens
Insecta,Hymenoptera,Apidae,Epeolus,Epeolus cruciger
Insecta,Hymenoptera,Apidae,Epeolus,Epeolus fallax
Insecta,Hymenoptera,Apidae,Epeolus,Epeolus julliani
Insecta,Hymenoptera,Apidae,Epeolus,Epeolus variegatus
Insecta,Hymenoptera,Apidae,Eucera,Eucera hispana
Insecta,Hymenoptera,Apidae,Eucera,Eucera longicornis
Insecta,Hymenoptera,Apidae,Eucera,Eucera nigrescens
Insecta,Hymenoptera,Apidae,Eucera,Eucera nigrifacies
Insecta,Hymenoptera,Apidae,Eucera,Eucera nigrilabris
Insecta,Hymenoptera,Apidae,Eucera,Eucera taurica
Insecta,Hymenoptera,Apidae,Habropoda,Habropoda tarsata
Insecta,Hymenoptera,Halictidae,Halictus,Halictus fulvipes
Insecta,Hymenoptera,Halictidae,Halictus,Halictus langobardicus
Insecta,Hymenoptera,Halictidae,Halictus,Halictus maculatus
Insecta,Hymenoptera,Halictidae,Halictus,Halictus quadricinctus
Insecta,Hymenoptera,Halictidae,Halictus,Halictus rubicundus
Insecta,Hymenoptera,Halictidae,Halictus,Halictus scabiosae
Insecta,Hymenoptera,Halictidae,Halictus,Halictus sexcinctus
Insecta,Hymenoptera,Halictidae,Halictus,Halictus simplex
Insecta,Hymenoptera,Megachilidae,Heriades,Heriades crenulata
Insecta,Hymenoptera,Megachilidae,Heriades,Heriades truncorum
Insecta,Hymenoptera,Megachilidae,Hoplitis,Hoplitis adunca
Insecta,Hymenoptera,Megachilidae,Hoplitis,Hoplitis cristatula
Insecta,Hymenoptera,Megachilidae,Hoplitis,Hoplitis leucomelana
Insecta,Hymenoptera,Megachilidae,Hoplitis,Hoplitis mocsaryi
Insecta,Hymenoptera,Megachilidae,Hoplitis,Hoplitis perezi
Insecta,Hymenoptera,Megachilidae,Hoplitis,Hoplitis tridentata
Insecta,Hymenoptera,Colletidae,Hylaeus,Hylaeus annulatus
Insecta,Hymenoptera,Colletidae,Hylaeus,Hylaeus clypearis
Insecta,Hymenoptera,Colletidae,Hylaeus,Hylaeus communis
Insecta,Hymenoptera,Colletidae,Hylaeus,Hylaeus confusus
Insecta,Hymenoptera,Colletidae,Hylaeus,Hylaeus cornutus
Insecta,Hymenoptera,Colletidae,Hylaeus,Hylaeus hyalinatus
Insecta,Hymenoptera,Colletidae,Hylaeus,Hylaeus leptocephalus
Insecta,Hymenoptera,Colletidae,Hylaeus,Hylaeus nigritus
Insecta,Hymenoptera,Colletidae,Hylaeus,Hylaeus pictipes
Insecta,Hymenoptera,Colletidae,Hylaeus,Hylaeus pictus
Insecta,Hymenoptera,Colletidae,Hylaeus,Hylaeus punctatus
Insecta,Hymenoptera,Colletidae,Hylaeus,Hylaeus punctulatissimus
Insecta,Hymenoptera,Colletidae,Hylaeus,Hylaeus signatus
Insecta,Hymenoptera,Colletidae,Hylaeus,Hylaeus sulphuripes
Insecta,Hymenoptera,Colletidae,Hylaeus,Hylaeus variegatus
Insecta,Hymenoptera,Megachilidae,Icteranthidium,Icteranthidium grohmanni
Insecta,Hymenoptera,Megachilidae,Icteranthidium,Icteranthidium laterale
Insecta,Hymenoptera,Halictidae,Lasioglossum,Lasioglossum albipes
Insecta,Hymenoptera,Halictidae,Lasioglossum,Lasioglossum calceatum
Insecta,Hymenoptera,Halictidae,Lasioglossum,Lasioglossum clypeare
Insecta,Hymenoptera,Halictidae,Lasioglossum,Lasioglossum costulatum
Insecta,Hymenoptera,Halictidae,Lasioglossum,Lasioglossum discum
Insecta,Hymenoptera,Halictidae,Lasioglossum,Lasioglossum glabriusculum
Insecta,Hymenoptera,Halictidae,Lasioglossum,Lasioglossum interruptum
Insecta,Hymenoptera,Halictidae,Lasioglossum,Lasioglossum laevigatum
Insecta,Hymenoptera,Halictidae,Lasioglossum,Lasioglossum laticeps
Insecta,Hymenoptera,Halictidae,Lasioglossum,Lasioglossum leucozonium
Insecta,Hymenoptera,Halictidae,Lasioglossum,Lasioglossum malachurum
Insecta,Hymenoptera,Halictidae,Lasioglossum,Lasioglossum marginatum
Insecta,Hymenoptera,Halictidae,Lasioglossum,Lasioglossum morio
Insecta,Hymenoptera,Halictidae,Lasioglossum,Lasioglossum nigripes
Insecta,Hymenoptera,Halictidae,Lasioglossum,Lasioglossum pallens
Insecta,Hymenoptera,Halictidae,Lasioglossum,Lasioglossum pauxillum
Insecta,Hymenoptera,Halictidae,Lasioglossum,Lasioglossum politum
Insecta,Hymenoptera,Halictidae,Lasioglossum,Lasioglossum prasinum
Insecta,Hymenoptera,Halictidae,Lasioglossum,Lasioglossum punctatissimum
Insecta,Hymenoptera,Halictidae,Lasioglossum,Lasioglossum pygmaeum
Insecta,Hymenoptera,Halictidae,Lasioglossum,Lasioglossum sexnotatum
Insecta,Hymenoptera,Halictidae,Lasioglossum,Lasioglossum villosulum
Insecta,Hymenoptera,Halictidae,Lasioglossum,Lasioglossum xanthopus
Insecta,Hymenoptera,Halictidae,Lasioglossum,Lasioglossum zonulum
Insecta,Hymenoptera,Megachilidae,Lithurgus,Lithurgus chrysurus
Insecta,Hymenoptera,Megachilidae,Lithurgus,Lithurgus cornutus
Insecta,Hymenoptera,Melittidae,Macropis,Macropis europaea
Insecta,Hymenoptera,Melittidae,Macropis,Macropis fulvipes
Insecta,Hymenoptera,Megachilidae,Megachile,Megachile albisecta
Insecta,Hymenoptera,Megachilidae,Megachile,Megachile apicalis
Insecta,Hymenoptera,Megachilidae,Megachile,Megachile centuncularis
Insecta,Hymenoptera,Megachilidae,Megachile,Megachile circumcincta
Insecta,Hymenoptera,Megachilidae,Megachile,Megachile ericetorum
Insecta,Hymenoptera,Megachilidae,Megachile,Megachile lagopoda
Insecta,Hymenoptera,Megachilidae,Megachile,Megachile leachella
Insecta,Hymenoptera,Megachilidae,Megachile,Megachile ligniseca
Insecta,Hymenoptera,Megachilidae,Megachile,Megachile maritima
Insecta,Hymenoptera,Megachilidae,Megachile,Megachile melanopyga
Insecta,Hymenoptera,Megachilidae,Megachile,Megachile nigriventris
Insecta,Hymenoptera,Megachilidae,Megachile,Megachile octosignata
Insecta,Hymenoptera,Megachilidae,Megachile,Megachile parietina
Insecta,Hymenoptera,Megachilidae,Megachile,Megachile pilidens
Insecta,Hymenoptera,Megachilidae,Megachile,Megachile pyrenaica
Insecta,Hymenoptera,Megachilidae,Megachile,Megachile rotundata
Insecta,Hymenoptera,Megachilidae,Megachile,Megachile sculpturalis
Insecta,Hymenoptera,Megachilidae,Megachile,Megachile sicula
Insecta,Hymenoptera,Megachilidae,Megachile,Megachile willughbiella
Insecta,Hymenoptera,Apidae,Melecta,Melecta albifrons
