class,order,family,genus,specie,taxon_id
Insecta,Psocodea,Philotarsidae,Aaroniella,Aaroniella badonneli,473200
Hexanauplia,Cyclopoida,Cyclopidae,Acanthocyclops,Acanthocyclops vernalis,212213
Branchiopoda,Anomopoda,Acantholeberidae,Acantholeberis,Acantholeberis curvirostris,483847
Insecta,Hemiptera,Acanthosomatidae,Acanthosoma,Acanthosoma haemorrhoidale,51149
Insecta,Coleoptera,Dytiscidae,Acilius,Acilius sulcatus,130410
Insecta,Hymenoptera,Mymaridae,Acmopolynema,Acmopolynema varium,1130836
Pauropoda,Tetramerocerata,Eurypauropodidae,Acopauropus,Acopauropus ornatus,1195707
Insecta,Plecoptera,Perlidae,Acroneuria,Acroneuria abnormis,212402
Branchiopoda,Anomopoda,Chydoridae,Acroperus,Acroperus harpae,203472
Insecta,Coleoptera,Ptiliidae,Acrotrichis,Acrotrichis inconspicua,409636
Insecta,Lepidoptera,Adelidae,Adela,Adela reaumurella,56203
Insecta,Hemiptera,Adelgidae,Adelges,Adelges laricis,430129
Insecta,Coleoptera,Aderidae,Aderus,Aderus populneus,212506
Insecta,Diptera,Culicidae,Aedes,Aedes vexans,155387
Insecta,Thysanoptera,Aeolothripidae,Aeolothrips,Aeolothrips albicinctus,882602
Insecta,Thysanoptera,Aeolothripidae,Aeolothrips,Aeolothrips collaris,548683
Insecta,Thysanoptera,Aeolothripidae,Aeolothrips,Aeolothrips kuwanaii,489296
Insecta,Lepidoptera,Heliodinidae,Aetole,Aetole bella,82520
Insecta,Trichoptera,Glossosomatidae,Agapetus,Agapetus fuscipes,321932
Insecta,Diptera,Platypezidae,Agathomyia,Agathomyia wankowiczii,892440
Insecta,Coleoptera,Chrysomelidae,Agelastica,Agelastica alni,210933
Insecta,Trichoptera,Hydroptilidae,Agraylea,Agraylea multipunctata,212803
Insecta,Coleoptera,Elateridae,Agrypnus,Agrypnus murinus,52406
Insecta,Coleoptera,Agyrtidae,Agyrtes,Agyrtes castaneus,538962
Insecta,Hemiptera,Aleyrodidae,Aleyrodes,Aleyrodes proletella,409563
Entognatha,Symphypleona,Sminthuridae,Allacma,Allacma fusca,356218
Insecta,Plecoptera,Capniidae,Allocapnia,Allocapnia minima,212982
Insecta,Hemiptera,Kermesidae,Allokermes,Allokermes cueroensis,49014
Arachnida,Trombidiformes,Trombidiidae,Allothrombium,Allothrombium fuliginosum,502421
Insecta,Hymenoptera,Figitidae,Alloxysta,Alloxysta victrix,385361
Insecta,Diptera,Ceratopogonidae,Alluaudomyia,Alluaudomyia bella,294366
Insecta,Lepidoptera,Alucitidae,Alucita,Alucita hexadactyla,70203
Arachnida,Araneae,Amaurobiidae,Amaurobius,Amaurobius ferox,127022
Insecta,Hymenoptera,Ichneumonidae,Amblyteles,Amblyteles armatorius,127719
Insecta,Mantodea,Amelidae,Ameles,Ameles spallanzania,430051
Insecta,Hymenoptera,Ampulicidae,Ampulex,Ampulex compressa,348362
Insecta,Hymenoptera,Figitidae,Anacharis,Anacharis zealandica,153969
Insecta,Hymenoptera,Mymaridae,Anagrus,Anagrus atomus,385562
Insecta,Hymenoptera,Encyrtidae,Anagyrus,Anagyrus paralia,265005
Insecta,Thysanoptera,Thripidae,Anaphothrips,Anaphothrips obscurus,307105
Insecta,Coleoptera,Scraptiidae,Anaspis,Anaspis maculata,496270
Insecta,Hymenoptera,Eupelmidae,Anastatus,Anastatus catalonicus,1127866
Insecta,Psocodea,Philopteridae,Anaticola,Anaticola crassicornis,330604
Insecta,Psocodea,Philopteridae,Anatoecus,Anatoecus dentatus,330610
Insecta,Odonata,Aeshnidae,Anax,Anax junius,67731
Insecta,Hymenoptera,Andrenidae,Andrena,Andrena fulva,60579
Arachnida,Opiliones,Trogulidae,Anelasmocephalus,Anelasmocephalus cambridgei,526528
Insecta,Trichoptera,Calamoceratidae,Anisocentropus,Anisocentropus pyraloides,213640
Insecta,Dermaptera,Anisolabididae,Anisolabis,Anisolabis maritima,127193
Insecta,Coleoptera,Leiodidae,Anisotoma,Anisotoma humeralis,456778
Insecta,Hymenoptera,Pompilidae,Anoplius,Anoplius viaticus,461636
Insecta,Coleoptera,Geotrupidae,Anoplotrupes,Anoplotrupes stercorosus,125655
Insecta,Hymenoptera,Dryinidae,Anteon,Anteon caledonianum,385757
Insecta,Hymenoptera,Scelionidae,Anteris,Anteris aethra,1397268
Insecta,Coleoptera,Cryptophagidae,Antherophagus,Antherophagus ochraceus,173084
Insecta,Coleoptera,Cryptophagidae,Antherophagus,Antherophagus pallens,130584
Insecta,Hymenoptera,Megachilidae,Anthidium,Anthidium manicatum,62453
Insecta,Hemiptera,Anthocoridae,Anthocoris,Anthocoris nemorum,359507
Insecta,Diptera,Anthomyiidae,Anthomyia,Anthomyia procellaris,322343
Insecta,Lepidoptera,Choreutidae,Anthophila,Anthophila fabriciana,321979
Insecta,Coleoptera,Dermestidae,Anthrenus,Anthrenus verbasci,120113
Insecta,Lepidoptera,Heliozelidae,Antispila,Antispila cornifoliella,213810
Diplopoda,Julida,Nemasomatidae,Antrokoreana,Antrokoreana gracilipes,623171
Entognatha,Poduromorpha,Neanuridae,Anurida,Anurida maritima,203347
Arachnida,Araneae,Anyphaenidae,Anyphaena,Anyphaena accentuata,319828
Arachnida,Trombidiformes,Anystidae,Anystis,Anystis baccarum,262721
Arachnida,Trombidiformes,Anystidae,Anystis,Anystis wallacei,650540
Insecta,Trichoptera,Apataniidae,Apatania,Apatania incerta,213878
Insecta,Trichoptera,Apataniidae,Apatania,Apatania muliebris,1047828
Insecta,Trichoptera,Apataniidae,Apatania,Apatania stigmatella,213882
Insecta,Trichoptera,Apataniidae,Apatania,Apatania zonella,213884
Insecta,Hemiptera,Aphelocheiridae,Aphelocheirus,Aphelocheirus aestivalis,546897
Insecta,Coleoptera,Brentidae,Apion,Apion frumentarium,205779
Insecta,Hymenoptera,Apidae,Apis,Apis mellifera,47219
Insecta,Coleoptera,Rhadalidae,Aplocnemus,Aplocnemus impressus,467737
Insecta,Coleoptera,Rhadalidae,Aplocnemus,Aplocnemus nigricornis,467738
Insecta,Lepidoptera,Limacodidae,Apoda,Apoda limacodes,324132
Insecta,Coleoptera,Attelabidae,Apoderus,Apoderus coryli,60472
Insecta,Dermaptera,Forficulidae,Apterygida,Apterygida albipennis,1416568
