Aglaoapis tridentata,37
Amegilla albigena,252
Amegilla garrula,317
Amegilla quadrifasciata,454
Andrena agilissima,302
Andrena albopunctata,178
Andrena apicata,28
Andrena barbilabris,115
Andrena bicolor,403
Andrena bicolorata,100
Andrena bimaculata,84
Andrena carantonica,72
Andrena chrysosceles,115
Andrena cineraria,415
Andrena clarkella,347
Andrena colletiformis,120
Andrena denticulata,274
Andrena dorsata,230
Andrena flavipes,528
Andrena florea,486
Andrena fulva,831
Andrena fuscipes,66
Andrena fuscosa,34
Andrena gravida,345
Andrena haemorrhoa,468
Andrena hattorfiana,423
Andrena helvola,55
Andrena humilis,113
Andrena labialis,115
Andrena labiata,165
Andrena lagopus,217
Andrena leucolippa,97
Andrena limbata,63
Andrena marginata,88
Andrena minutula,108
Andrena morio,183
Andrena nigriceps,41
Andrena nigroaenea,440
Andrena nitida,472
Andrena nycthemera,48
Andrena ovatula,55
Andrena pandellei,212
Andrena pilipes,228
Andrena praecox,115
Andrena propinqua,61
Andrena proxima,54
Andrena ranunculi,149
Andrena rosae,214
Andrena symphyti,81
Andrena thoracica,286
Andrena tibialis,79
Andrena trimmerana,46
Andrena vaga,500
Andrena variabilis,102
Andrena ventralis,217
Andrena viridescens,91
Andrena wilkella,322
Anthidiellum strigatum,497
Anthidium florentinum,491
Anthidium loti,174
Anthidium manicatum,629
Anthidium oblongatum,450
Anthidium punctatum,234
Anthidium septemspinosum,675
Anthophora aestivalis,119
Anthophora bimaculata,344
Anthophora crinipes,113
Anthophora dispar,100
Anthophora fulvodimidiata,27
Anthophora furcata,292
Anthophora plumipes,521
Anthophora quadrimaculata,292
Anthophora retusa,163
Apis mellifera,18441
Bombus alpinus,66
Bombus argillaceus,308
Bombus barbutellus,178
Bombus bohemicus,321
Bombus campestris,329
Bombus confusus,97
Bombus cryptarum,288
Bombus cullumanus,118
Bombus distinguendus,224
Bombus flavidus,291
Bombus hortorum,487
Bombus humilis,388
Bombus hypnorum,423
Bombus jonellus,284
Bombus lapidarius,455
Bombus lucorum,365
Bombus mesomelas,180
Bombus monticola,306
Bombus mucidus,46
Bombus muscorum,325
Bombus pascuorum,562
Bombus pomorum,46
Bombus pratorum,432
Bombus pyrenaeus,23
Bombus ruderarius,280
Bombus ruderatus,425
Bombus rupestris,316
Bombus sichelii,279
Bombus soroeensis,275
Bombus soroeensis proteus,81
Bombus subterraneus,229
Bombus sylvarum,376
Bombus sylvestris,171
Bombus terrestris,544
Bombus terrestris dalmatinus,129
Bombus terrestris lusitanicus,288
Bombus vestalis,348
Bombus veteranus,338
Bombus wurflenii,158
Bombus xanthopus,93
Ceratina chalcites,189
Ceratina chalybea,337
Ceratina cucurbitina,1017
Ceratina cyanea,225
Ceylalictus variegatus,188
Chelostoma campanularum,189
Chelostoma florisomne,321
Chelostoma rapunculi,495
Coelioxys afra,214
Coelioxys alatus,36
Coelioxys conoidea,228
Coelioxys conoideus,14
Coelioxys inermis,163
Colletes cunicularius,622
Colletes daviesanus,72
Colletes halophilus,57
Colletes hederae,1026
Colletes hylaeiformis,97
Colletes similis,199
Colletes succinctus,70
Dasypoda argentata,95
Dasypoda hirtipes,395
Dasypoda visnaga,82
Epeoloides coecutiens,202
Epeolus cruciger,90
Epeolus fallax,262
Epeolus julliani,84
Epeolus variegatus,118
Eucera hispana,59
Eucera longicornis,144
Eucera nigrescens,365
