class,order,family,genus,specie,taxon_id,count
Insecta,Psocodea,Philotarsidae,Philotarsus,Philotarsus parviceps,775126,15
Insecta,Hemiptera,Acanthosomatidae,Elasmostethus,Elasmostethus interstinctus,318507,1791
Insecta,Coleoptera,Dytiscidae,Rhantus,Rhantus suturalis,342213,557
Pauropoda,Tetramerocerata,Eurypauropodidae,Trachypauropus,Trachypauropus latzeli,1468045,1
Insecta,Lepidoptera,Adelidae,Nemophora,Nemophora metallica,326739,1435
Insecta,Hemiptera,Adelgidae,Pineus,Pineus pini,395219,18
Insecta,Coleoptera,Aderidae,Anidorus,Anidorus sanguinolentus,1066121,14
Insecta,Diptera,Culicidae,Culiseta,Culiseta annulata,155395,490
Insecta,Thysanoptera,Aeolothripidae,Rhipidothrips,Rhipidothrips gratiosus,704791,2
Insecta,Diptera,Platypezidae,Polyporivora,Polyporivora picta,1144238,16
Insecta,Coleoptera,Chrysomelidae,Lilioceris,Lilioceris lilii,55761,4319
Insecta,Trichoptera,Hydroptilidae,Ithytrichia,Ithytrichia lamellaris,546190,7
Insecta,Coleoptera,Elateridae,Athous,Athous haemorrhoidalis,130622,1328
Insecta,Coleoptera,Agyrtidae,Necrophilus,Necrophilus subterraneus,176865,1
Insecta,Hemiptera,Aleyrodidae,Siphoninus,Siphoninus phillyreae,397210,50
Entognatha,Symphypleona,Sminthuridae,Sminthurus,Sminthurus viridis,207552,78
Insecta,Hymenoptera,Figitidae,Phaenoglyphis,Phaenoglyphis villosa,394957,2
Insecta,Lepidoptera,Alucitidae,Pterotopteryx,Pterotopteryx dodecadactyla,781071,5
Arachnida,Araneae,Amaurobiidae,Callobius,Callobius claustrarius,416678,54
Insecta,Hymenoptera,Ichneumonidae,Diplazon,Diplazon laetatorius,84693,838
Insecta,Hymenoptera,Mymaridae,Stephanodes,Stephanodes similis,1083579,1
Insecta,Coleoptera,Scraptiidae,Cyrtanaspis,Cyrtanaspis phalerata,976487,5
Insecta,Hymenoptera,Eupelmidae,Pentacladia,Pentacladia elegans,473481,4
Insecta,Odonata,Aeshnidae,Aeshna,Aeshna cyanea,52519,8406
Insecta,Hymenoptera,Andrenidae,Panurgus,Panurgus calcaratus,484540,103
Arachnida,Opiliones,Trogulidae,Trogulus,Trogulus tricarinatus,525704,22
Insecta,Dermaptera,Anisolabididae,Euborellia,Euborellia moesta,496317,291
Insecta,Coleoptera,Leiodidae,Agathidium,Agathidium nigripenne,495160,18
Insecta,Hymenoptera,Pompilidae,Auplopus,Auplopus carbonarius,466448,325
Insecta,Coleoptera,Geotrupidae,Trypocopris,Trypocopris vernalis,472829,2658
Insecta,Coleoptera,Cryptophagidae,Atomaria,Atomaria lewisi,386273,12
Insecta,Hymenoptera,Megachilidae,Osmia,Osmia cornuta,126630,3896
Insecta,Hemiptera,Anthocoridae,Cardiastethus,Cardiastethus fasciiventris,624482,127
Insecta,Diptera,Anthomyiidae,Eustalomyia,Eustalomyia hilaris,624894,64
Insecta,Lepidoptera,Choreutidae,Tebenna,Tebenna micalis,311409,980
Insecta,Coleoptera,Dermestidae,Attagenus,Attagenus trifasciatus,737693,284
Entognatha,Poduromorpha,Neanuridae,Neanura,Neanura muscorum,261737,196
Insecta,Coleoptera,Brentidae,Exapion,Exapion ulicis,410464,318
Insecta,Hymenoptera,Apidae,Bombus,Bombus pascuorum,55637,22948
Insecta,Lepidoptera,Limacodidae,Hoyosia,Hoyosia codeti,780798,150
Insecta,Coleoptera,Attelabidae,Tatianaerhynchites,Tatianaerhynchites aequatus,502652,590
Insecta,Dermaptera,Forficulidae,Chelidurella,Chelidurella acanthopygia,518234,503
Insecta,Hemiptera,Gerridae,Limnoporus,Limnoporus rufoscutellatus,494010,188
Insecta,Orthoptera,Mogoplistidae,Mogoplistes,Mogoplistes brunneus,466326,160
Insecta,Hemiptera,Aradidae,Aneurus,Aneurus avenius,708867,149
