class,order,family,genus,specie,taxon_id,count
Insecta,Coleoptera,Dytiscidae,Acilius,Acilius canaliculatus,547304,159
Insecta,Lepidoptera,Adelidae,Adela,Adela australis,497791,761
Insecta,Hemiptera,Adelgidae,Adelges,Adelges piceae,199321,14
Insecta,Diptera,Culicidae,Aedes,Aedes caspius,1112066,124
Insecta,Thysanoptera,Aeolothripidae,Aeolothrips,Aeolothrips fasciatus,385111,3
Insecta,Trichoptera,Glossosomatidae,Agapetus,Agapetus ochripes,987124,1
Insecta,Diptera,Platypezidae,Agathomyia,Agathomyia antennata,905445,4
Insecta,Trichoptera,Hydroptilidae,Agraylea,Agraylea sexmaculata,475527,6
Insecta,Coleoptera,Agyrtidae,Agyrtes,Agyrtes bicolor,1203971,4
Insecta,Hemiptera,Aleyrodidae,Aleyrodes,Aleyrodes lonicerae,956104,6
Insecta,Lepidoptera,Alucitidae,Alucita,Alucita huebneri,485436,21
Arachnida,Araneae,Amaurobiidae,Amaurobius,Amaurobius fenestralis,426154,94
Insecta,Mantodea,Amelidae,Ameles,Ameles decolor,476105,657
Insecta,Coleoptera,Scraptiidae,Anaspis,Anaspis fasciata,130572,121
Insecta,Hymenoptera,Eupelmidae,Anastatus,Anastatus bifasciatus,949370,4
Insecta,Odonata,Aeshnidae,Anax,Anax parthenope,94048,2024
Insecta,Hymenoptera,Andrenidae,Andrena,Andrena cineraria,70400,2496
Insecta,Coleoptera,Leiodidae,Anisotoma,Anisotoma castanea,924040,2
Insecta,Hymenoptera,Pompilidae,Anoplius,Anoplius nigerrimus,127784,21
Insecta,Coleoptera,Cryptophagidae,Antherophagus,Antherophagus similis,787792,3
Insecta,Hymenoptera,Megachilidae,Anthidium,Anthidium oblongatum,125792,2590
Insecta,Hemiptera,Anthocoridae,Anthocoris,Anthocoris nemoralis,549119,41
Insecta,Diptera,Anthomyiidae,Anthomyia,Anthomyia pluvialis,207835,73
Insecta,Coleoptera,Dermestidae,Anthrenus,Anthrenus scrophulariae,128264,767
