name,taxon_id,ancestry
Abacionidae,154351,48460/1/47120/144128/47735/551278/372763/997267/551280/153143/999086
Abadiellidae,1265386,48460/1/47120/205907/1318014
Abrsiidae,996659,48460/1/47120/85493/473790/1091452/121643/774777/774779/85514/997010
Acalyptonotidae,245030,48460/1/47120/245097/47119/52788/129763/83740/490738/495534/495535
Acanaloniidae,84807,48460/1/47120/372739/47158/184884/47744/125816/372860/52073
Acanthametropodidae,172748,48460/1/47120/372739/47158/184884/48011
Acanthaspidiidae,813874,48460/1/47120/85493/473790/47187/774775/144114/48147/343772/60691
Acanthephyridae,1096842,48460/1/47120/85493/473790/47187/774775/144113/47186/118451/342912/245522
Acanthocnemidae,572542,48460/1/47120/372739/47158/184884/47208/71130/372852/55050
Acanthogammaridae,708356,48460/1/47120/85493/473790/47187/774775/144114/47628/869842/885340/885377/708355
Acantholeberidae,1068393,48460/1/47120/85493/60395/1134694/68305/774762
Acanthonotozomatidae,339129,48460/1/47120/85493/473790/47187/774775/144114/47628/869872/983404/983406/983410
Acanthonotozomellidae,983187,48460/1/47120/85493/473790/47187/774775/144114/47628/869872/983404/983406/983410
Acanthopidae,84581,48460/1/47120/372739/47158/184884/48112/1097011/1097013/1097034
Acanthopteroctetidae,453156,48460/1/47120/372739/47158/184884/47157/453155
Acanthosomatidae,51159,48460/1/47120/372739/47158/184884/47744/61267/372868/47743
Acaridae,245045,48460/1/47120/245097/47119/52788/129763/81508/332183/1227296/152845/1255718/1466255
Acaronychidae,329383,48460/1/47120/245097/47119/52788/129763/81508/332183/1227489/329380
Acarophenacidae,982549,48460/1/47120/245097/47119/52788/129763/83740
Acartiidae,195129,48460/1/47120/85493/473790/1091452/121643/774777/774778/85507
Acartophthalmidae,510086,48460/1/47120/372739/47158/184884/47822/48091/372853/48089/48088/361261
Acastidae,1079747,48460/1/47120/205907/317844/1079750/1079748
Acerentomidae,371092,48460/1/47120/372739/243773/83242/1397966
Achaemenothrombiidae,1260210,48460/1/47120/245097/47119/52788/129763/83740/490738/635761/491889
Acheliidae,372932,48460/1/47120/245097/47825/245099/372859
Acherontacaridae,982540,48460/1/47120/245097/47119/52788/129763/83740/490738/495534/635852
Achilidae,174056,48460/1/47120/372739/47158/184884/47744/125816/372860/52073
Achilixiidae,517985,48460/1/47120/372739/47158/184884/47744/125816/372860/52073
Achipteridae,372930,48460/1/47120/245097/47119/52788/129763/81508/332183/1227296/1227488/858146
Achipteriidae,858147,48460/1/47120/245097/47119/52788/129763/81508/332183/1227296/1227488/858146
Acidopsidae,195205,48460/1/47120/85493/473790/47187/774775/144113/47186/118451/121639/706185/447514/342934
Acidostomatidae,246190,48460/1/47120/85493/473790/47187/774775/144114/47628/869872/983405/983415/983419
Aclerdidae,715480,48460/1/47120/372739/47158/184884/47744/334037/60922
Aclopidae,895948,48460/1/47120/372739/47158/184884/47208/71130/702480/48202
Acontistidae,709388,48460/1/47120/372739/47158/184884/48112
Acraeidae,526293,48460/1/47120/372739/47158/184884/47157
Acrididae,47649,48460/1/47120/372739/47158/184884/47651/67688/700600/47650
Acroceridae,176389,48460/1/47120/372739/47158/184884/47822/48091/372865/781661
Acrolepiidae,522751,48460/1/47120/372739/47158/184884/47157/53552
Acrolophidae,118928,48460/1/47120/372739/47158/184884/47157/61414
Acropsopilionidae,452360,48460/1/47120/245097/47119/47367/526560/552382
Actaeciidae,504293,48460/1/47120/85493/473790/47187/774775/144114/48147
Actaletidae,245390,48460/1/47120/372739/243773/49470/83224/171477
Actinedidae,172617,48460/1/47120/245097/47119/52788/129763/83740/55597
Actinopodidae,143556,48460/1/47120/245097/47119/47118/84719/1467321
Adamystidae,246196,48460/1/47120/245097/47119/52788/129763/83740/55597/635811/635934
Adelgidae,61515,48460/1/47120/372739/47158/184884/47744/334037/901813/61514
Adelidae,51270,48460/1/47120/372739/47158/184884/47157/51269
Adeliellidae,983422,48460/1/47120/85493/473790/47187/774775/144114/47628/869872/983405/983415/787963
Adenopleurellidae,996620,48460/1/47120/85493/473790/1091452/121643/774777/774779/85521
Aderidae,172767,48460/1/47120/372739/47158/184884/47208/71130/372852/47593
Adhaesozetidae,372935,48460/1/47120/245097/47119/52788/129763/81508/332183/1227296/1227488/982110
Adiaphorostreptidae,997842,48460/1/47120/144128/47735/551278/372763/997267/372724/85543/997741/997782
Adiheterothripidae,981070,48460/1/47120/372739/47158/184884/83201
Adritylidae,171258,48460/1/47120/144128/47735/551278/372763/997267/551280/50425/804465/986464
Aegidae,245491,48460/1/47120/85493/473790/47187/774775/144114/48147/343773/343788
Aegisthidae,996621,48460/1/47120/85493/473790/1091452/121643/774777/774779/85521
Aeglidae,428693,48460/1/47120/85493/473790/47187/774775/144113/47186/118451/123825/775921
Aenictopecheidae,372936,48460/1/47120/372739/47158/184884/47744/61267/372856/173356
Aenigmatineidae,1008068,48460/1/47120/372739/47158/184884/47157
Aeolothripidae,245155,48460/1/47120/372739/47158/184884/83201/372872/1377478
Aeroglyphidae,982239,48460/1/47120/245097/47119/52788/129763/81508/332183/1227296/152845/1255718/1466258
Aeshnidae,51469,48460/1/47120/372739/47158/184884/47792/47927/1317180
Aetalionidae,326316,48460/1/47120/372739/47158/184884/47744/125816/372849/49025
Aethalionidae,123593,48460/1/47120/372739/47158/184884/47744
Aethridae,53611,48460/1/47120/85493/473790/47187/774775/144113/47186/118451/121639/706185/447514/775924
Aetideidae,171626,48460/1/47120/85493/473790/1091452/121643/774777/774778/85507
Aetiopedesidae,983240,48460/1/47120/85493/473790/47187/774775/144114/47628/869842/983350/983351/983353
Afrauropodidae,982590,48460/1/47120/144128/83243/153129
Agaonidae,121523,48460/1/47120/372739/47158/184884/47201/124417/981280/69750
Agapythidae,372937,48460/1/47120/372739/47158/184884/47208/71130/372852/48485
Agathemeridae,124846,48460/1/47120/372739/47158/184884/47198/569714/569717/134120
Agathiphagidae,471285,48460/1/47120/372739/47158/184884/47157/479873
Agathotanaidae,996499,48460/1/47120/85493/473790/47187/774775/144114/83718/983430/983436
Agelenidae,47345,48460/1/47120/245097/47119/47118/120474/342614/367159
Agnaridae,813910,48460/1/47120/85493/473790/47187/774775/144114/48147/84718/343783/343798
Agnostidae,333889,48460/1/47120/205907/333890/921244
Agonoxenidae,173395,48460/1/47120/372739/47158/184884/47157/55518
Agoristenidae,535010,48460/1/47120/245097/47119/47367/202277/526082/534092
Agostocarididae,461663,48460/1/47120/85493/473790/47187/774775/144113/47186/118451/342912/330853
Agraulidae,796028,48460/1/47120/205907/325840/796027
Agromyzidae,48086,48460/1/47120/372739/47158/184884/47822/48091/372853/48089/48088/48087
Agyrtidae,176882,48460/1/47120/372739/47158/184884/47208/71130/372870/48311
Aididae,544895,48460/1/47120/372739/47158/184884/47157/52029
Akalyptoischiidae,342447,48460/1/47120/372739/47158/184884/47208/71130/372852/471714
Akanthophoreidae,996500,48460/1/47120/85493/473790/47187/774775/144114/83718/983430/983436
Akravidae,1079858,48460/1/47120/245097/47119/48894/1323567
Alainosquillidae,996485,48460/1/47120/85493/473790/47187/774772/49796/1001363/49798
Albuneidae,47601,48460/1/47120/85493/473790/47187/774775/144113/47186/118451/123825/47185
Aleurodamaeidae,982124,48460/1/47120/245097/47119/52788/129763/81508/332183/1227296/1227488/245279
Alexiidae,491921,48460/1/47120/372739/47158/184884/47208/71130/372852/471714
Aleyrodidae,154784,48460/1/47120/372739/47158/184884/47744/334037/154786
Algophagidae,982240,48460/1/47120/245097/47119/52788/129763/81508/332183/1227296/152845/1255718/1254682
Alicellidae,425123,48460/1/47120/85493/473790/47187/774775/144114/47628/869872/983405/983415/983418
Alicorhagiidae,372939,48460/1/47120/245097/47119/52788/129763/81508/635987/1109613
Allochaetophoridae,473442,48460/1/47120/245097/47119/52788/129763/83740/55597/635847/208541
Allocrangonyctidae,566567,48460/1/47120/85493/473790/47187/774775/144114/47628/869842/885340/885341/885371
Alloniscidae,245412,48460/1/47120/85493/473790/47187/774775/144114/48147/84718/343783/343798
Allopocockiidae,245152,48460/1/47120/144128/47735/551278/372763/997267/372724/51603/997639
Alloptidae,245046,48460/1/47120/245097/47119/52788/129763/81508/332183/1227296/152845/1466413/1466256
Allotanaupodidae,372940,48460/1/47120/245097/47119/52788/129763/83740/490738
Allothyridae,372941,48460/1/47120/245097/47119/52788/129762/144131
Alokistocaridae,325837,48460/1/47120/205907/325840/325844
Alpheidae,51196,48460/1/47120/85493/473790/47187/774775/144113/47186/118451/342912/51195
Alsasuacaridae,1389566,48460/1/47120/85493/473792/473793/372778/1389565
Altajellidae,982611,48460/1/47120/144128/47735/551278/372763/997267/551280/50425/986465/986469
Alucitidae,48148,48460/1/47120/372739/47158/184884/47157/48149
Alvinocarididae,502017,48460/1/47120/85493/473790/47187/774775/144113/47186/118451/342912/330853
Alycidae,485123,48460/1/47120/245097/47119/52788/129763/81508/635987/1109613
Alydidae,62059,48460/1/47120/372739/47158/184884/47744/61267/372868/51776
Amanipodagrionidae,1304668,48460/1/47120/372739/47158/184884/47792/47928/1317181
Amaryllididae,870470,48460/1/47120/85493/473790/47187/774775/144114/47628/869872/983405/983415/787963
Amathillopsidae,870469,48460/1/47120/85493/473790/47187/774775/144114/47628/869872/983404/983406/983410
Amaurobiidae,49550,48460/1/47120/245097/47119/47118/120474/342614/765794
Ambasiidae,983207,48460/1/47120/85493/473790/47187/774775/144114/47628/869872/983405/983415/983419
Ameiridae,85573,48460/1/47120/85493/473790/1091452/121643/774777/774779/85521
Ameletidae,173248,48460/1/47120/372739/47158/184884/48011
Ameletopsidae,372943,48460/1/47120/372739/47158/184884/48011
Amelidae,1097048,48460/1/47120/372739/47158/184884/48112/1097011/1097013/1097030
Ameridae,372944,48460/1/47120/245097/47119/52788/129763/81508/332183/1227296/1227488/1465997
Amerobelbidae,982100,48460/1/47120/245097/47119/52788/129763/81508/332183/1227296/1227488/1465997
Ameronothridae,245048,48460/1/47120/245097/47119/52788/129763/81508/332183/1227296/1227488/245052
Ameroseidae,372945,48460/1/47120/245097/47119/52788/129762/52790
Ameroseiidae,245183,48460/1/47120/245097/47119/52788/129762/52790/907177/936184/1270556/1185887
Ametropodidae,173247,48460/1/47120/372739/47158/184884/48011
Ametroproctidae,982109,48460/1/47120/245097/47119/52788/129763/81508/332183/1227296/1227488/982110
Ammodesmidae,841324,48460/1/47120/144128/47735/551278/372763/997267/372784/47734/711088/841313/841321
Ammotheidae,51488,48460/1/47120/245097/47825/245099/372859/812656
Ammothellidae,372929,48460/1/47120/245097/47825/245099/372859
Ammotrechidae,245459,48460/1/47120/245097/47119/47824
Ammoxenidae,416715,48460/1/47120/245097/47119/47118/120474/342614/367173
