name,taxon_id,ancestry
Acantholeberidae,1068393,48460/1/47120/85493/60395/1134694/68305/774762
Acanthopteroctetidae,453156,48460/1/47120/372739/47158/184884/47157/453155
Acanthosomatidae,51159,48460/1/47120/372739/47158/184884/47744/61267/372868/47743
Acaridae,245045,48460/1/47120/245097/47119/52788/129763/81508/332183/1227296/152845/1255718/1466255
Acartiidae,195129,48460/1/47120/85493/473790/1091452/121643/774777/774778/85507
Acartophthalmidae,510086,48460/1/47120/372739/47158/184884/47822/48091/372853/48089/48088/361261
Acerentomidae,371092,48460/1/47120/372739/243773/83242/1397966
Acherontacaridae,982540,48460/1/47120/245097/47119/52788/129763/83740/490738/495534/635852
Achilidae,174056,48460/1/47120/372739/47158/184884/47744/125816/372860/52073
Achipteridae,372930,48460/1/47120/245097/47119/52788/129763/81508/332183/1227296/1227488/858146
Aclerdidae,715480,48460/1/47120/372739/47158/184884/47744/334037/60922
Acrididae,47649,48460/1/47120/372739/47158/184884/47651/67688/700600/47650
Acroceridae,176389,48460/1/47120/372739/47158/184884/47822/48091/372865/781661
Adamystidae,246196,48460/1/47120/245097/47119/52788/129763/83740/55597/635811/635934
Adelgidae,61515,48460/1/47120/372739/47158/184884/47744/334037/901813/61514
Adelidae,51270,48460/1/47120/372739/47158/184884/47157/51269
Aderidae,172767,48460/1/47120/372739/47158/184884/47208/71130/372852/47593
Adiheterothripidae,981070,48460/1/47120/372739/47158/184884/83201
Aeolothripidae,245155,48460/1/47120/372739/47158/184884/83201/372872/1377478
Aeshnidae,51469,48460/1/47120/372739/47158/184884/47792/47927/1317180
Agaonidae,121523,48460/1/47120/372739/47158/184884/47201/124417/981280/69750
Agelenidae,47345,48460/1/47120/245097/47119/47118/120474/342614/367159
Agnaridae,813910,48460/1/47120/85493/473790/47187/774775/144114/48147/84718/343783/343798
Agromyzidae,48086,48460/1/47120/372739/47158/184884/47822/48091/372853/48089/48088/48087
Agyrtidae,176882,48460/1/47120/372739/47158/184884/47208/71130/372870/48311
Alexiidae,491921,48460/1/47120/372739/47158/184884/47208/71130/372852/471714
Aleyrodidae,154784,48460/1/47120/372739/47158/184884/47744/334037/154786
Alloptidae,245046,48460/1/47120/245097/47119/52788/129763/81508/332183/1227296/152845/1466413/1466256
Alucitidae,48148,48460/1/47120/372739/47158/184884/47157/48149
Alycidae,485123,48460/1/47120/245097/47119/52788/129763/81508/635987/1109613
Alydidae,62059,48460/1/47120/372739/47158/184884/47744/61267/372868/51776
Amaurobiidae,49550,48460/1/47120/245097/47119/47118/120474/342614/765794
Ameiridae,85573,48460/1/47120/85493/473790/1091452/121643/774777/774779/85521
Ameletidae,173248,48460/1/47120/372739/47158/184884/48011
Amelidae,1097048,48460/1/47120/372739/47158/184884/48112/1097011/1097013/1097030
Ametropodidae,173247,48460/1/47120/372739/47158/184884/48011
Amorphoscelidae,55129,48460/1/47120/372739/47158/184884/48112/1097011/1097013/1097014
Amphipsocidae,245134,48460/1/47120/372739/47158/184884/83187/144300/480277
Ampulicidae,186860,48460/1/47120/372739/47158/184884/47201/124417/326777/47222
Analgidae,245049,48460/1/47120/245097/47119/52788/129763/81508/332183/1227296/152845/1466413/1466256
Anamorphidae,506547,48460/1/47120/372739/47158/184884/47208/71130/372852/471714
Andrenidae,57668,48460/1/47120/372739/47158/184884/47201/124417/326777/47222/630955
Anisolabididae,245158,48460/1/47120/372739/47158/184884/47793/713334/713335/949883/713340
Anisopodidae,245529,48460/1/47120/372739/47158/184884/47822/154259/489328
Anthicidae,85586,48460/1/47120/372739/47158/184884/47208/71130/372852/47593
Anthocoridae,174592,48460/1/47120/372739/47158/184884/47744/61267/372850/53668
Anthomyiidae,49996,48460/1/47120/372739/47158/184884/47822/48091/372853/48089/342767/54992
Anthomyzidae,329767,48460/1/47120/372739/47158/184884/47822/48091/372853/48089/48088/48087
Anthribidae,172909,48460/1/47120/372739/47158/184884/47208/71130/372852/60473
Anthroleucosomatidae,171527,48460/1/47120/144128/47735/551278/372763/997267/551280/50425/986465/986471
Anyphaenidae,83722,48460/1/47120/245097/47119/47118/120474/342614
Anystidae,245050,48460/1/47120/245097/47119/52788/129763/83740/55597/635811/625766
Apataniidae,173235,48460/1/47120/372739/47158/184884/62164/372875/81972
Aphalaridae,446767,48460/1/47120/372739/47158/184884/47744/334037/48195
Aphelacaridae,245053,48460/1/47120/245097/47119/52788/129763/81508/332183/1227489/245054
Aphelinidae,201669,48460/1/47120/372739/47158/184884/47201/124417/981280/69750
Aphelocheiridae,360948,48460/1/47120/372739/47158/184884/47744/61267/116696/342776
Aphididae,52381,48460/1/47120/372739/47158/184884/47744/334037/901813/52380
Aphrophoridae,56195,48460/1/47120/372739/47158/184884/47744/125816/372849/56194
Apidae,47221,48460/1/47120/372739/47158/184884/47201/124417/326777/47222/630955
Apionacaridae,982232,48460/1/47120/245097/47119/52788/129763/81508/332183/1227296/152845/1466413/1466256
Aradidae,61254,48460/1/47120/372739/47158/184884/47744/61267/372868/61255
Araneidae,47535,48460/1/47120/245097/47119/47118/120474/342614/319384
Argasidae,123675,48460/1/47120/245097/47119/52788/129762/51672
Argidae,82227,48460/1/47120/372739/47158/184884/47201/84643/49452
Argulidae,144120,48460/1/47120/85493/473792/473793/372778/144119/1066672
Argyresthiidae,85600,48460/1/47120/372739/47158/184884/47157/53552
Armadillidae,85603,48460/1/47120/85493/473790/47187/774775/144114/48147/84718/343783/343798
Armadillidiidae,48296,48460/1/47120/85493/473790/47187/774775/144114/48147/84718/343783/343798
Arrenuridae,121464,48460/1/47120/245097/47119/52788/129763/83740/490738/495534/495535
Arrhopalitidae,171235,48460/1/47120/372739/243773/49470/152965/171234
Artemiidae,85605,48460/1/47120/85493/60395/495841/119123/1068364
Artheneidae,372918,48460/1/47120/372739/47158/184884/47744/61267/372868/466233
Arthropleidae,173185,48460/1/47120/372739/47158/184884/48011/154639
Asellidae,85607,48460/1/47120/85493/473790/47187/774775/144114/48147/343772/813869
Asilidae,47982,48460/1/47120/372739/47158/184884/47822/48091/372865/354603
Astacidae,53709,48460/1/47120/85493/473790/47187/774775/144113/47186/118451/311310/47783
Asteiidae,173269,48460/1/47120/372739/47158/184884/47822/48091/372853/48089/48088/48087
Asterolecaniidae,321513,48460/1/47120/372739/47158/184884/47744/334037/60922
Atelestidae,558000,48460/1/47120/372739/47158/184884/47822/48091/372865/318504
Atemnidae,432754,48460/1/47120/245097/47119/172373/372876/928847/928851/172435
Athericidae,154586,48460/1/47120/372739/47158/184884/47822/48091/372865/342679
Attelabidae,60474,48460/1/47120/372739/47158/184884/47208/71130/372852/60473
Aturidae,245038,48460/1/47120/245097/47119/52788/129763/83740/490738/495534/495539
Atyidae,85614,48460/1/47120/85493/473790/47187/774775/144113/47186/118451/342912/342921
Atypidae,61443,48460/1/47120/245097/47119/47118/84719/367198
Aulacidae,145378,48460/1/47120/372739/47158/184884/47201/124417/145377
Aulacigastridae,371084,48460/1/47120/372739/47158/184884/47822/48091/372853/48089/48088/48087
Autognetidae,245059,48460/1/47120/245097/47119/52788/129763/81508/332183/1227296/1227488/245062
Autostichidae,210585,48460/1/47120/372739/47158/184884/47157/55518
Avenzoariidae,373218,48460/1/47120/245097/47119/52788/129763/81508/332183/1227296/152845/1466413/1466256
Axonopsidae,245006,48460/1/47120/245097/47119/52788/129763/83740/490738/495534/495539
Azotidae,373317,48460/1/47120/372739/47158/184884/47201/124417/981280/69750
Bacillidae,337090,48460/1/47120/372739/47158/184884/47198/569714/569717/180409
Baetidae,48009,48460/1/47120/372739/47158/184884/48011
Bathynellidae,483938,48460/1/47120/85493/473790/47187/774775/144123/153113
Bathytropidae,339121,48460/1/47120/85493/473790/47187/774775/144114/48147/84718/343783/343798
Batrachedridae,173417,48460/1/47120/372739/47158/184884/47157/55518
Bdellidae,120955,48460/1/47120/245097/47119/52788/129763/83740/55597/635809/245051
Bedelliidae,173416,48460/1/47120/372739/47158/184884/47157/53552
Belisariidae,1286465,48460/1/47120/245097/47119/48894/1323567/1323568/1323570/130035
Beraeidae,173415,48460/1/47120/372739/47158/184884/62164/372875/121942
Berothidae,177315,48460/1/47120/372739/47158/184884/48763/483236
Berytidae,57804,48460/1/47120/372739/47158/184884/47744/61267/372868/466233
Bethylidae,203283,48460/1/47120/372739/47158/184884/47201/124417/326777/203212
