name,taxon_id,ancestry,family
Aaroniella badonneli,473200,48460/1/47120/372739/47158/184884/83187/144300/714246/245157/714477/252388,245157
Abacarus hystrix,385592,48460/1/47120/245097/47119/52788/129763/81508/635987/373225/55584/1020006/1109585/375492,55584
Abacetus salzmanni,1040027,48460/1/47120/372739/47158/184884/47208/340471/372884/49567/202105/422833/422834,49567
Abacoproeces saltuum,788871,48460/1/47120/245097/47119/47118/120474/342614/319384/67599/495875/419039,67599
Abax carinatus,537747,48460/1/47120/372739/47158/184884/47208/340471/372884/49567/202105/202057/422962/130411,49567
Abax ovalis,498011,48460/1/47120/372739/47158/184884/47208/340471/372884/49567/202105/202057/422962/130411,49567
Abax parallelepipedus,130409,48460/1/47120/372739/47158/184884/47208/340471/372884/49567/202105/202057/422962/130411,49567
Abax parallelus,473011,48460/1/47120/372739/47158/184884/47208/340471/372884/49567/202105/202057/422962/130411,49567
Abdera affinis,987000,48460/1/47120/372739/47158/184884/47208/71130/372852/47593/173723/373573/519667/456891,173723
Abdera biflexuosa,1453329,48460/1/47120/372739/47158/184884/47208/71130/372852/47593/173723/373573/519667/456891,173723
Abdera flexuosa,896189,48460/1/47120/372739/47158/184884/47208/71130/372852/47593/173723/373573/519667/456891,173723
Abdera quadrifasciata,1105246,48460/1/47120/372739/47158/184884/47208/71130/372852/47593/173723/373573/519667/456891,173723
Abemus chloropterus,538585,48460/1/47120/372739/47158/184884/47208/71130/372870/48311/47951/359911/359910/373906/538586,47951
Abia aenea,461221,48460/1/47120/372739/47158/184884/47201/84643/49452/53844/877391/461223/1348791,53844
Abia aurulenta,1267542,48460/1/47120/372739/47158/184884/47201/84643/49452/53844/877391/461223,53844
Abia candens,461219,48460/1/47120/372739/47158/184884/47201/84643/49452/53844/877391/461223,53844
Abia fasciata,461218,48460/1/47120/372739/47158/184884/47201/84643/49452/53844/877391/461223,53844
Abia fulgens,856305,48460/1/47120/372739/47158/184884/47201/84643/49452/53844/877391/461223,53844
Abia lonicerae,495047,48460/1/47120/372739/47158/184884/47201/84643/49452/53844/877391/461223/1348791,53844
Abia mutica,956397,48460/1/47120/372739/47158/184884/47201/84643/49452/53844/877391/461223/1348791,53844
Abia nitens,803273,48460/1/47120/372739/47158/184884/47201/84643/49452/53844/877391/461223,53844
Abia nitens,1404272,48460/1/47120/372739/47158/184884/47201/84643/49452/53844/877391/461223,53844
Abia sericea,525537,48460/1/47120/372739/47158/184884/47201/84643/49452/53844/877391/461223,53844
Ablabesmyia longistyla,576340,48460/1/47120/372739/47158/184884/47822/154259/153429/509764/53275/130031/130030/247694,53275
Ablabesmyia monilis,576337,48460/1/47120/372739/47158/184884/47822/154259/153429/509764/53275/130031/130030/247694,53275
