name,taxon_id,family,count
Aaroniella badonneli,473200,245157,32
,,55584,0
Abacetus salzmanni,1040027,49567,7
,,67599,0
Abax carinatus,537747,49567,37
Abax ovalis,498011,49567,101
Abax parallelepipedus,130409,49567,585
Abax parallelus,473011,49567,59
Abdera affinis,987000,173723,3
,,173723,0
Abdera flexuosa,896189,173723,7
Abdera quadrifasciata,1105246,173723,1
Abemus chloropterus,538585,47951,30
Abia aenea,461221,53844,8
Abia aurulenta,1267542,53844,10
Abia candens,461219,53844,22
Abia fasciata,461218,53844,227
Abia fulgens,856305,53844,27
Abia lonicerae,495047,53844,11
Abia mutica,956397,53844,11
,,53844,0
Abia nitens,1404272,53844,190
,,53844,0
,,53275,0
,,53275,0
,,53275,0
Ablattaria laevigata,326362,53849,391
,,373317,0
,,373317,0
,,373317,0
,,373317,0
Abrachyglossum capitatum,873823,61893,12
,,68869,0
,,68869,0
Abraeus perpusillus,627697,68869,4
Abraxas grossulariata,61918,49530,1499
Abraxas pantaria,483568,49530,100
Abraxas sylvata,52429,49530,1481
,,121478,0
,,471716,0
,,471716,0
Abrostola agnorista,1241045,48670,1
Abrostola asclepiadis,735391,48670,63
Abrostola tripartita,205190,48670,1359
Abrostola triplasia,324887,48670,882
,,47199,0
,,47199,0
Acaenitus dubitator,1094722,47199,1
Acaeroplastes melanurus,963201,122239,54
Acalitus brevitarsus,334080,55584,213
Acalitus calycophthirus,547285,55584,3
Acalitus essigi,384833,55584,5
Acalitus longisetosus,902402,55584,107
Acalitus phloeocoptes,1409347,55584,2
Acalitus phyllereus,915249,55584,28
Acalitus rudis,547284,55584,11
Acalitus stenaspis,891266,55584,36
,,48736,0
,,48736,0
Acalles echinatus,987010,48736,4
,,48736,0
,,48736,0
Acalles misellus,1047812,48736,7
,,48736,0
Acalles ptinoides,547782,48736,14
,,48736,0
,,53506,0
Acalypta carinata,883619,53506,12
,,53506,0
Acalypta gracilis,624554,53506,3
,,53506,0
Acalypta marginata,705207,53506,2
Acalypta musci,887762,53506,2
Acalypta nigrina,887763,53506,2
,,53506,0
Acalypta parvula,130112,53506,32
,,53506,0
,,53506,0
,,53506,0
,,85925,0
,,85925,0
Acalyptus carpini,212204,48736,39
Acalyptus sericeus,987011,48736,4
,,203213,0
Acanthaclisis occitanica,493370,49358,71
,,135298,0
Acanthiophilus helianthi,488045,47990,158
Acanthobodilus immundus,605438,48201,5
,,319318,0
Acanthocinus aedilis,515219,47961,568
Acanthocinus griseus,578622,47961,207
Acanthocinus reticulatus,321446,47961,10
,,68719,0
,,48026,0
,,48026,0
,,48026,0
,,48026,0
,,48026,0
,,48026,0
,,48026,0
,,48026,0
,,48026,0
,,85918,0
,,85918,0
,,85918,0
,,85918,0
,,85918,0
,,85718,0
Acanthocyclops capillatus,702504,85718,2
,,85718,0
Acanthocyclops venustus,1075681,85718,1
