name,taxon_id,family,count
Tetracion jonesi,232394,154351,20
Acanalonia conica,84806,84807,5074
Acanthephyra pelagica,459492,1096842,10
Acanthocnemus nigricans,646496,572542,2
Acanthogammarus victorii,708352,708356,4
Acantholeberis curvirostris,483847,1068393,7
Acanthonotozoma inflatum,1402293,339129,6
Decimiana rehni,748756,84581,56
Acanthopteroctetes bimaculata,453153,453156,2
Acanthosoma haemorrhoidale,51149,51159,4709
Tyrophagus putrescentiae,337065,245045,5
Acartia longiremis,203394,195129,2
Catonia nava,372211,174056,362
Bebaiotes banksi,1319006,517985,4
Nipponaclerda biwakoensis,1125587,715480,21
Melanoplus differentialis,63518,47649,19342
Cyrtus gibbus,324345,176389,51
Acropsopilio neozelandiae,452361,452360,12
Missulena occatoria,464824,143556,262
Saxidromus delamarei,1205340,246196,2
Adelges tsugae,61513,61515,2951
Adela reaumurella,56203,51270,2618
Aderus populneus,212506,172767,33
Rocinela belliceps,260731,245491,14
Aegla concepcionensis,966671,428693,28
Gamostolus subantarcticus,958098,372936,4
Orothrips kelloggi,506264,245155,5
Anax junius,67731,51469,25693
Aetalion reticulatum,326309,326316,349
Hepatus epheliticus,259858,53611,646
Pleistodontes froggatti,395333,121523,15
Agathemera luteola,124855,124846,100
Eratigena duellica,750907,47345,2463
Orthometopon planum,544096,813910,105
Yunquenus portoricanus,538637,535010,8
Phytomyza ilicis,69629,48086,2375
Necrophilus hydrophiloides,176866,176882,100
Aidos yamouna,738168,544895,39
Lepidopa benedicti,295534,47601,56
Sphaerosoma pilosum,491919,491921,10
Aleuroplatus coronata,417217,154784,480
Allocrangonyx pellucidus,93667,566567,3
Alloniscus perconvexus,261215,245412,164
Anelus richardsoni,307109,245152,1
Athanas nitescens,568953,51196,188
Alucita hexadactyla,70203,48148,1534
Rimicaris exoculata,867838,502017,1
Camptopus lateralis,326890,62059,1824
Amaryllis philatelica,897446,870470,2
Amaurobius ferox,127022,49550,1066
Ameletus lineatus,213363,173248,5
Ameletopsis perscitus,385416,372943,55
Ameles spallanzania,430051,1097048,1356
Afrocypholaelaps africanus,903521,245183,1
Ammothea hilgendorfi,51489,51488,28
Ammotrechula boneti,297171,245459,18
Perlamantis alliberti,341628,55129,87
Ampelisca eschrichtii,1039997,64625,3
Stimulopalpus japonicus,366868,245114,109
Polypsocus corruptus,308234,245134,576
Amphipteryx agrioides,93957,85577,1
Phreatomerus latipes,1067630,209265,3
Amphizoa insolens,321415,321416,7
Ampithoe lacertosa,260501,118499,9
Ampulex compressa,348362,186860,508
Licornus atroluteus,1346351,1152348,2
Analges bidentatus,1469069,245049,1
Teyloides bakeri,829037,1108899,19
Symbiotes gibberosus,232053,506547,11
Gertschanapis shantzi,845306,49879,15
Anaplecta fallax,311112,1371377,21
Anaspides tasmaniae,178195,563328,4
Syntexis libocedrii,778510,778511,2
Ancinus depressus,370881,245447,7
Andrena fulva,60579,57668,2998
Brachycybe producta,154895,81978,355
Angela guianensis,464664,748258,13
Parectatosoma echinus,496899,180408,22
Eogammarus possjeticus,1081796,171654,1
Euborellia annulipes,196419,245158,1320
Sylvicola dubius,451818,245529,693
Anomoses hylecoetes,874752,874750,1
Hemideina crassidens,85227,85210,1353
Anthela acuta,355236,125018,840
Anthessius navanacis,1125385,996656,8
Notoxus monoceros,131885,85586,428
Anthocoris nemorum,359507,174592,713
Anthomyia illocata,424957,49996,1380
Mumetopia occipitalis,329766,329767,19
Platystomos albinus,317906,172909,870
Anamastigona bilselii,1186443,171527,7
Cyathura polita,203400,85587,4
Atypoides riversi,989847,48359,1339
Anuropus panteni,1160180,813896,2
Anyphaena accentuata,319828,83722,2600
Anystis baccarum,262721,245050,11
Grandidierella japonica,209039,209042,2
Apachyus feae,1468052,713330,6
Apatania incerta,213878,173235,9
Apatelodes torrefacta,48262,783235,3498
Pachypsylla celtidismamma,322972,446767,5621
Amplinus bitumidus,270436,171228,20
Encarsia noyesi,751815,201669,9
Aphelocheirus aestivalis,546897,360948,43
Aphis nerii,71154,52381,14215
Philaenus spumarius,56189,56195,6032
Apis mellifera,47219,47221,257581
Apiocera philippii,876617,208225,5
Apteropanorpa tasmanica,574675,574676,2
Apystomyia elinguis,1466266,557997,1
Aradus depressus,204846,61254,278
Araneus diadematus,52628,47535,46307
Afrarchaea cornuta,791397,416710,3
Archeocrypticus topali,311410,311413,25
Archoleptoneta schusteri,844897,1228865,2
Zootermopsis angusticollis,121383,857908,640
Arcitalitrus dorrieni,512080,1128399,96
Arcturus baffini,1020001,245446,5
Argas reflexus,484033,123675,16
Arge ochropus,447507,82227,1151
Austroargiolestes icteromelas,323643,550512,4466
Argulus foliaceus,467516,144120,12
Argyresthia goedartella,214138,85600,889
Aristaeopsis edwardsiana,260237,245489,6
Arixenia esau,713349,713338,13
Arkys lancearius,201613,860669,567
Armadillo officinalis,319939,85603,682
Armadillidium vulgare,56083,48296,44469
Arrenurus marshallae,777119,121464,2
Arrhenophanes perspicilla,257395,245531,64
Arrhopalites caecus,296634,171235,2
Eurypogon niger,219883,176417,13
Artemia monica,94658,85605,91
Chilacis typhae,467709,372918,133
Arthroplea congener,987911,173185,1
Zoosphaerium neptunus,122723,122722,55
Presbistus peleus,542365,460562,60
Ascorhynchus longicollis,812986,372891,3
Asellus aquaticus,434576,85607,459
Ashinaga longimana,319659,1240134,19
Dioctria hyalipennis,135239,47982,4259
Octobunus singularis,535106,340919,14
Pacifastacus leniusculus,53708,53709,3019
Asteia beata,552020,173269,27
Planchonia arabidis,1089153,321513,9
Atelecyclus undecimdentatus,363950,245423,172
Meghyperus occidens,1470354,558000,1
Paratemnoides nidificator,900156,432754,29
Atherix ibis,738294,154586,73
Comanchelus chihuanus,217486,154899,4
Chirodiscoides caviae,262725,245060,1
Atrax robustus,205276,860664,92
Atriplectides dubius,1355138,981170,1
